"Front","Back","code","Tags"
"What command displays the entire contents of a file?","Prints the entire file to standard output. Best for small files.","cat file.txt","module03"
"What command displays multiple files together?","Concatenates and displays multiple files.","cat file1.txt file2.txt","module03"
"What command displays a file with line numbers?","Useful when troubleshooting configuration files.","cat -n file.txt","module03"
"What command displays the beginning of a file?","Shows the first 10 lines by default.","head file.txt","module03"
"What command displays the first 20 lines of a file?","Useful for quickly inspecting large files.","head -20 file.txt","module03"
"What command displays the end of a file?","Shows the last 10 lines by default.","tail file.txt","module03"
"What command displays the last 50 lines of a file?","Commonly used for log analysis.","tail -50 app.log","module03"
"What command continuously follows a growing log file?","Displays new lines as they are written.","tail -f app.log","module03"
"What command follows a log file and retries if the file is recreated?","Useful for rotated logs.","tail -F app.log","module03"
"What command allows scrolling through a file interactively?","Supports forward/backward navigation and search.","less file.txt","module03"
"Why is less preferred over cat for large files?","Loads content efficiently and supports searching without printing the entire file.","less file.txt","module03"
"How do you search for text inside less?","Press / followed by the search term.","/error","module03"
"How do you move to the next search result in less?","Jumps to the next match.","n","module03"
"How do you quit less?","Exits the pager.","q","module03"
"What command displays a file page by page (older pager)?","Older pager that only moves forward.","more file.txt","module03"
"What command counts lines in a file?","Displays the total number of lines.","wc -l file.txt","module03"
"What command counts words in a file?","Displays the total word count.","wc -w file.txt","module03"
"What command counts characters in a file?","Displays total character count.","wc -m file.txt","module03"
"What command counts bytes in a file?","Useful when checking file sizes.","wc -c file.txt","module03"
"What command shows line, word, and byte counts together?","Default wc behavior.","wc file.txt","module03"
"What command displays only the first column of a CSV file?","Extracts fields using a delimiter.","cut -d ',' -f1 users.csv","module03"
"What command displays specific columns from a file?","Extracts fields based on delimiter.","cut -d ':' -f1 /etc/passwd","module03"
"What command sorts lines alphabetically?","Sorts text in ascending order.","sort file.txt","module03"
"What command sorts lines in reverse order?","Sorts text descending.","sort -r file.txt","module03"
"What command removes duplicate adjacent lines?","Usually used after sorting.","uniq file.txt","module03"
"What command counts duplicate occurrences?","Shows occurrence count for each unique line.","uniq -c file.txt","module03"
"What command displays the first column of /etc/passwd?","Extracts usernames.","cut -d ':' -f1 /etc/passwd","module03"
"What command combines files and displays output?","Concatenates files together.","cat file1 file2","module03"
"What command displays hidden characters like tabs and line endings?","Useful when troubleshooting configuration issues.","cat -A file.txt","module03"
"What command displays non-printable characters?","Helps detect formatting problems.","cat -v file.txt","module03"
"What command displays file contents in reverse order?","Prints lines from bottom to top.","tac file.txt","module03"
"What command displays only unique lines from a sorted file?","Removes duplicates.","uniq","module03"
"What command displays the middle of a file quickly?","Combine head and tail.","head -100 file.txt | tail -20","module03"
"You want to monitor an Nginx access log in real time. Which command should you use?","Continuously follows new log entries.","tail -f /var/log/nginx/access.log","module03"
"You want to inspect the last 100 lines of an application log. Which command should you use?","Shows the most recent log entries.","tail -100 app.log","module03"
"You want to inspect the beginning of a large configuration file. Which command should you use?","Displays the first lines.","head config.yaml","module03"
"You want to search inside a very large log file interactively. Which command should you use?","Allows scrolling and searching efficiently.","less app.log","module03"
"You need to count how many lines are in a log file. Which command should you use?","Displays total line count.","wc -l app.log","module03"
"You need to identify duplicate entries in a file. Which commands are commonly combined?","Sort first, then remove duplicates.","sort file.txt | uniq","module03"
"What command is commonly used to inspect Kubernetes YAML files?","View file contents directly.","cat deployment.yaml","module03"
"What command is commonly used to inspect Docker Compose files?","View configuration quickly.","cat docker-compose.yml","module03"
"What command is commonly used to monitor application logs in production?","Continuously stream logs.","tail -f","module03"
"What command is commonly used to read system logs safely?","Supports searching and navigation.","less","module03"
"A Linux interview asks: How do you view the last 20 lines of a file?","Use tail with line count.","tail -20 file.txt","module03"
"A Linux interview asks: How do you monitor logs in real time?","Follow the file as new lines are written.","tail -f logfile","module03"
"A Linux interview asks: How do you count the number of lines in a file?","Use wc with -l.","wc -l file.txt","module03"
"A Linux interview asks: What is the difference between cat and less?","cat prints the entire file immediately; less allows interactive navigation and search.","cat vs less","module03"
"What are the most important Module 03 commands every DevOps engineer should know?","Essential file viewing and log inspection commands.","cat\nhead\ntail\nless\nwc\ncut\nsort\nuniq","module03"

